TEMPLATE TỰ ĐÁNH GIÁ ĐỒ ÁN CUỐI KỲ – CRYPTO STRATEGY LAB,,,,,,,,,,,,,
,,,,,,,,,,,,,
Tên đề tài,,CryptoBot,,Link GitHub,,https://github.com/EnsoTech-Studio/CryptoBot,,,,,Nhóm tiêu chí,Điểm tối đa,Điểm đạt
Nhóm / Lớp,,23KTPM1,,Link video demo,,,,,,,Kiến trúc phần mềm,35,70
Trưởng nhóm,,Lê Trường Thịnh,,Link báo cáo,,https://github.com/EnsoTech-Studio/CryptoBot/tree/main/blueprint,,,,,Chức năng yêu cầu,40,100
Ngày tự đánh giá,,03/09/2026,,Link hướng dẫn cài đặt,,https://github.com/EnsoTech-Studio/CryptoBot,,,,,Hồ sơ & tài liệu,15,40
,,,,Link deployment (nếu có),,,,,,,Demo & độ tin cậy,5,20
"Thang tự đánh giá 0–4: 0 = chưa có/không chạy; 1 = rất thiếu; 2 = đạt một phần; 3 = đạt yêu cầu cơ bản và demo được; 4 = tốt/vượt yêu cầu, có minh chứng rõ.",,,,,,,,,,,Mở rộng có giá trị,5,10
,,,,,,,,,,,TỔNG,,240
TỔNG ĐIỂM / 100,,QUY ĐỔI / 10,,TIÊU CHÍ ĐẠT (≥3),,THIẾU MINH CHỨNG,,Nguyên tắc: đồ án tập trung vào KIẾN TRÚC PHẦN MỀM. Phải chứng minh công nghệ giải quyết vấn đề kiến trúc nào.,,,,,
240,,24,,24,,0,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
STT,Nhóm tiêu chí,Tiêu chí,Yêu cầu cần đạt / minh chứng nên có,Điểm tối đa,"Mức tự đánh giá
(0–4)",Điểm quy đổi,Minh chứng / link(Có thể cập nhật đến hết ngày 4/9),Ghi chú / kế hoạch hoàn thiện,Cảnh báo,,,,
1,A. Kiến trúc phần mềm,Khả năng mở rộng Strategy / Plugin,Có abstraction/interface Strategy; thêm strategy mới (ví dụ MACD) với thay đổi tối thiểu; không hard-code if/else theo từng strategy.,10,4,10,https://github.com/EnsoTech-Studio/CryptoBot/blob/d39f3510fcec0e2716caef4c5670ec955d0a2cc2/app/domain/strategy/registry.py#L19-L40,"Nhóm đã tách phần logic chiến lược thành các plugin độc lập và quản lý qua Registry. Khi bổ sung strategy mới, nhóm chỉ cần thêm plugin, metadata và test tương ứng; thời gian tới sẽ tiếp tục bổ sung test hồi quy cho strategy sinh từ LLM.",,,,,
2,A. Kiến trúc phần mềm,Tách trách nhiệm & giảm coupling,"Strategy chỉ xử lý logic strategy; tách Market Data, Backtest, Evaluator, Ranking, News, Sentiment, UI; tránh God Service và business logic ở frontend.",10,4,10,https://github.com/EnsoTech-Studio/CryptoBot/blob/d39f3510fcec0e2716caef4c5670ec955d0a2cc2/blueprint/design.md#L87-L93,"Các trách nhiệm chính đã được chia theo boundary: Go xử lý public edge và market realtime, Python xử lý research/backtest, còn frontend chỉ hiển thị và gọi API. Nhóm sẽ duy trì nguyên tắc không đưa business logic vào UI khi phát triển thêm chức năng.",,,,,
3,A. Kiến trúc phần mềm,Khả năng thay thế thành phần,"Có thể thay Random Search → Domain-guided/Genetic, Binance → provider khác, hoặc sentiment model mà không phải viết lại các module phía sau.",10,4,10,https://github.com/EnsoTech-Studio/CryptoBot/blob/d39f3510fcec0e2716caef4c5670ec955d0a2cc2/server/internal/infrastructure/market/registry.go#L10-L39,"Search generator và market provider đều đi qua contract/registry, giúp thay thế implementation mà không ảnh hưởng các module phía sau. Kế hoạch tiếp theo là thêm test contract chung khi mở rộng thêm provider hoặc thuật toán search.",,,,,
4,A. Kiến trúc phần mềm,Scalability & Performance,Giải thích/triển khai hướng mở rộng từ hàng trăm lên nhiều candidate; có queue/worker hoặc giải pháp tương đương khi phù hợp; có đo thời gian backtest.,10,4,10,https://github.com/EnsoTech-Studio/CryptoBot/blob/d39f3510fcec0e2716caef4c5670ec955d0a2cc2/docs/benchmark-100k-2026-09-03.json#L1-L17,Backtest đã chạy bất đồng bộ qua PostgreSQL queue và worker có thể tăng replica. Nhóm đã đo 100.000 job với 4 worker; nếu có thêm thời gian sẽ đo tiếp 8/16 worker và theo dõi queue depth để đánh giá giới hạn thực tế.,,,,,
