CHECKLIST DEMO & KIỂM TRA KIẾN TRÚC,,,,,,
,,,,,,
Dùng sheet này trước khi nộp và trước buổi demo. Khởi động chung: lần đầu Copy-Item .env.example .env; .\scripts\install-run-command.ps1; run setup; cd web; npm ci; cd ..; sau đó run up; cd web; npm run dev. Mỗi bước có minh chứng GitHub và thao tác demo ngắn.,,,,,,
,,,,,,
Bước,Kịch bản demo end-to-end,Kết quả mong đợi,Trạng thái,Minh chứng,Người phụ trách,Ghi chú cách chạy/demo
1,Mở BTCUSDT với 4 timeframe,4 chart realtime (ví dụ 5m | 15m | 1h | 4h) hiển thị ổn định.,Đạt,"UI grid giới hạn panel: https://github.com/EnsoTech-Studio/CryptoBot/blob/main/web/app/components/realtime/RealtimeChartGrid.tsx#L8-L9 ; realtime state + reconnect: https://github.com/EnsoTech-Studio/CryptoBot/blob/main/web/app/providers/workspace.tsx#L1027-L1053",,"Chạy run up; cd web; npm run dev. Mở http://localhost:3000 → Realtime, chọn BTCUSDT và lần lượt thêm 5m/15m/1h/4h; kiểm tra 4 panel cập nhật."
2,"Chọn MA, RSI, Bollinger, Support/Resistance",Các strategy được bật/chọn mà không ảnh hưởng module khác.,Đạt,"Registry tách factory strategy: https://github.com/EnsoTech-Studio/CryptoBot/blob/main/app/domain/strategy/registry.py#L20-L40 ; plugin built-in: https://github.com/EnsoTech-Studio/CryptoBot/tree/main/app/domain/strategy/plugins ; UI catalog/composite: https://github.com/EnsoTech-Studio/CryptoBot/blob/main/web/app/components/discovery/DiscoveryScreen.tsx#L314-L351",,"Vào Discovery, tick MA/RSI/Bollinger/Support-Resistance và chỉnh weight; chuyển sang Backtest để chứng minh strategy được dùng qua candidate contract."
3,Bấm START SEARCH,"Search loop bắt đầu, có trạng thái chạy rõ ràng.",Đạt,"Nút bắt đầu: https://github.com/EnsoTech-Studio/CryptoBot/blob/main/web/app/components/discovery/DiscoveryControls.tsx#L245-L247 ; UI trạng thái tested/generated: https://github.com/EnsoTech-Studio/CryptoBot/blob/main/web/app/components/discovery/DiscoveryScreen.tsx#L245-L254 ; generator service: https://github.com/EnsoTech-Studio/CryptoBot/blob/main/app/services/search.py#L37-L43",,"Đảm bảo run workers đang chạy. Ở Discovery chọn dataset sẵn sàng, bấm Bắt đầu Discovery; chỉ vào status và bộ đếm tested/generated trên UI."
4,Quan sát candidate đang backtest,Hiển thị candidate tested/current candidate/backtesting progress hoặc log tương đương.,Đạt,"Progress contract/UI: https://github.com/EnsoTech-Studio/CryptoBot/blob/main/web/app/components/discovery/DiscoveryControls.tsx#L98-L99 ; worker thực thi snapshot: https://github.com/EnsoTech-Studio/CryptoBot/blob/main/app/worker.py#L256-L331",,"Ngay sau Start Search giữ trang Discovery; đọc số tested/generated/failed. Nếu cần log kỹ thuật: run logs worker trong terminal khác."
5,Quan sát Leaderboard cập nhật,Top-K thay đổi khi candidate mới có score tốt hơn.,Đạt,"Leaderboard render và refresh: https://github.com/EnsoTech-Studio/CryptoBot/blob/main/web/app/components/discovery/DiscoveryLeaderboard.tsx#L44-L79 ; API tải leaderboard: https://github.com/EnsoTech-Studio/CryptoBot/blob/main/web/app/components/discovery/DiscoveryScreen.tsx#L263-L294",,"Chờ vài candidate hoàn thành rồi bấm Làm mới leaderboard; so sánh thứ hạng/Return (%) trước và sau."
6,Click Top strategy,"Chart hiển thị strategy, indicator/zone và Buy/Sell.",Đạt,"Click mở experiment/chart: https://github.com/EnsoTech-Studio/CryptoBot/blob/main/web/app/components/discovery/DiscoveryLeaderboard.tsx#L220-L234 ; Backtest dựng candidate definition: https://github.com/EnsoTech-Studio/CryptoBot/blob/main/web/app/components/backtest/BacktestScreen.tsx#L399-L458",,"Ở leaderboard click tên/biểu đồ của top strategy; chuyển sang Backtest để thấy chart overlay và các điểm Buy/Sell."
7,Mở Trade Detail / Metrics,"Xem được trades, Return, Win Rate, MDD, Number of Trades.",Đạt,"Metrics lấy total_return/win_rate/max_drawdown/trade_count: https://github.com/EnsoTech-Studio/CryptoBot/blob/main/web/app/components/backtest/BacktestMetrics.tsx#L22-L31 ; trade ledger: https://github.com/EnsoTech-Studio/CryptoBot/blob/main/web/app/components/backtest/TradeLedger.tsx#L23-L71",,"Trong Backtest chọn một experiment completed; mở Metrics và Trade ledger, click một dòng trade để đối chiếu entry/exit."
8,Mở News,Hiển thị tin BTC/coin liên quan và sentiment summary.,Đạt,"News UI + summary: https://github.com/EnsoTech-Studio/CryptoBot/blob/main/web/app/components/news/NewsScreen.tsx#L53-L104 ; backend collection/sentiment: https://github.com/EnsoTech-Studio/CryptoBot/blob/main/app/services/news.py#L38-L98",,"Mở News, lọc BTC nếu có; bấm Collect/Refresh rồi chỉ các bài tin và Analysis Rail (tổng hợp POSITIVE/NEGATIVE/NEUTRAL). Cần OPENAI_API_KEY để crawl/sentiment thật."
9,Tích hợp SentimentStrategy (nếu có),Sentiment có thể trở thành input/strategy mà không phá Strategy Engine.,Đạt,"Plugin news_sentiment: https://github.com/EnsoTech-Studio/CryptoBot/blob/main/app/domain/strategy/plugins/news_sentiment.py ; default parameters: https://github.com/EnsoTech-Studio/CryptoBot/blob/main/app/domain/strategy/defaults.py#L17-L29 ; worker truyền sentiment windows vào engine: https://github.com/EnsoTech-Studio/CryptoBot/blob/main/app/worker.py#L256-L277",,"Trong Discovery/Backtest chọn News Sentiment cùng MA hoặc RSI, chạy backtest; nhấn mạnh engine vẫn nhận cùng CandidateStrategy/snapshot."
10,Chạy lại search/composite,"Có thể thử MA+RSI+Sentiment hoặc combination khác và tiếp tục vòng lặp.",Đạt,"Composite candidate builder: https://github.com/EnsoTech-Studio/CryptoBot/blob/main/web/app/components/backtest/BacktestScreen.tsx#L670-L700 ; search proposal giữ candidate_definition: https://github.com/EnsoTech-Studio/CryptoBot/blob/main/app/services/search.py#L189-L233",,"Dừng/hoàn tất run trước, đổi tổ hợp và weight trong Discovery rồi Start lại. Cho thấy candidate_definition mới nhưng worker/backtester không đổi."
,,,,,,
SCENARIO KIỂM TRA CHẤT LƯỢNG KIẾN TRÚC,,,,,,
#,Scenario,Điều cần chứng minh,Trạng thái,Minh chứng,Người phụ trách,Ghi chú cách chạy/demo
1,Thêm MACDStrategy,"Chỉ thêm class/plugin + register; không sửa nhiều controller/backtester/evaluator/UI.",Đạt,"MACD plugin: https://github.com/EnsoTech-Studio/CryptoBot/blob/main/app/domain/strategy/plugins/macd.py ; registry contract: https://github.com/EnsoTech-Studio/CryptoBot/blob/main/app/domain/strategy/registry.py#L20-L40 ; demo snippet: https://github.com/EnsoTech-Studio/CryptoBot/blob/main/demo/architecture/python/register_macd.snippet.py",,"Mở ba file theo thứ tự: plugin → register snippet → registry. Nói rõ chỉ factory/metadata thay đổi; chạy py -3 -m pytest tests/test_indicators_plugins.py -q để kiểm tra plugin."
2,Đổi Random Search → Domain-guided/Genetic,Các component phía sau vẫn chỉ nhận CandidateStrategy; Backtester không phải sửa.,Đạt,"Generator map có random/domain-guided/genetic: https://github.com/EnsoTech-Studio/CryptoBot/blob/main/app/services/search.py#L37-L43 ; generators test: https://github.com/EnsoTech-Studio/CryptoBot/blob/main/tests/test_discovery_generators.py#L1-L43 ; worker nhận snapshot không phụ thuộc thuật toán: https://github.com/EnsoTech-Studio/CryptoBot/blob/main/app/worker.py#L256-L331",,"Trong Discovery đổi phương thức tìm kiếm (Random/Domain-guided/Genetic), Start lại; mở app/services/search.py để chỉ ra chỉ thay generator trước khi candidate vào queue."
3,Thêm Market Data Provider mới,Frontend và Strategy Engine không phụ thuộc trực tiếp schema/provider cụ thể.,Đạt,"Provider port: https://github.com/EnsoTech-Studio/CryptoBot/blob/main/server/internal/ports/market.go ; registry resolve provider: https://github.com/EnsoTech-Studio/CryptoBot/blob/main/server/internal/infrastructure/market/registry.go#L12-L36 ; OKX implementation: https://github.com/EnsoTech-Studio/CryptoBot/blob/main/server/internal/infrastructure/market/okx.go",,"Mở ports/market.go → registry.go → okx.go; giải thích thêm provider chỉ implement port và đăng ký. Có thể chọn provider khác trên Realtime mà không đổi strategy."
